Killabeg,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Killabeg/v135dky
Killaveny,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Killaveny/v115rgg
Killinure,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Killinure/v11dyh5
Kilpipe,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Glenphilipeen/v1jf34f
Kilquiggin,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Kilquiggin/v17ncq7
Knockatomcoyle,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Knockatomcoyle/v1wwp94
Knockeen,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Knockatomcoyle/v1wwp94
Knockloe,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Knockloe/v138rsq
Knocknaboley,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Knocknaboley/v172ysw
Knocknagree,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Knocknagree/v1mm43f
Kyle,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Glennashouk/v1rb9y6
Laragh,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Curraghlawn/v184yyr
Liscolman,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Liscolman/v11x8gz
Lugduff,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Lugduff/v1mc5s9
Lumcloon,https://kb.virtualtreasury.ie/geo/modern-townland/C_32_B_07_P_01_251018_LUMCLOON
Lybagh,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Lybagh/v1gw42b
Mangans,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Mangans/v17mf8d
Mill Land,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Bollarney-Murragh/v1fnw91
Minmore,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Minmore/v137kyg
Money Lower,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Money-Lower/v1rxq53
Money Upper,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Money-Upper/v1m94ny
Motabower,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Motabower/v1h3d2k
Mountpleasant,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Mountpleasant/v1c3dk7
Moylisha,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Moylisha/v12kt3g
Moyne,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Moyne/v1g8m7x
Mucklagh,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Mucklagh/v1pb47c
